section,a_no_b_no,a_no_b_yes,a_yes_b_no,a_yes_b_yes,ci_hi,ci_lo,classifier,coder,dimension,dominant_zone,dominant_zone_n,dominant_zone_weight,environment,kappa,mapping,mapping_desc,n,n_sample,p_hat_reweighted,population,raw_sample_prevalence,scope,sensitivity,specificity,weight_clear-none,weight_clear-specific,weight_grey,zone_clear-none_n,zone_clear-none_p,zone_clear-specific_n,zone_clear-specific_p,zone_grey_n,zone_grey_p
mapping,,,,,1.0,0.0,judge,adjudicated,,,,,,0.7857142857142857,A,specific_reference,36,,,,,commons/mixed,1.0,0.9705882352941176,,,,,,,,,
mapping,,,,,0.31117021276595747,-0.05463182897862222,judge,adjudicated,,,,,,0.12114014251781481,A,specific_reference,37,,,,,triage/uniform_fair,0.875,0.3448275862068966,,,,,,,,,
mapping,,,,,0.9361702127659575,0.4782608695652174,judge,adjudicated,,,,,,0.7169811320754718,A,specific_reference,36,,,,,triage/mixed,1.0,0.7058823529411765,,,,,,,,,
mapping,,,,,0.18819503849443964,0.0018031555221637463,judge,adjudicated,,,,,,0.09460963587215768,B,generic_network_language,146,,,,,overall,0.39669421487603307,0.8,,,,,,,,,
mapping,,,,,0.0,0.0,judge,adjudicated,,,,,,0.0,B,generic_network_language,37,,,,,commons/uniform_fair,0.0,,,,,,,,,,
mapping,,,,,0.22222222222222232,0.0,judge,adjudicated,,,,,,0.08695652173913039,B,generic_network_language,36,,,,,commons/mixed,0.125,1.0,,,,,,,,,
mapping,,,,,0.44539614561027846,-0.1490683229813663,judge,adjudicated,,,,,,0.12847965738758038,B,generic_network_language,37,,,,,triage/uniform_fair,0.7272727272727273,0.5,,,,,,,,,
mapping,,,,,0.7000000000000001,0.047058823529411965,judge,adjudicated,,,,,,0.39999999999999997,B,generic_network_language,36,,,,,triage/mixed,0.7777777777777778,0.6666666666666666,,,,,,,,,
mapping,,,,,0.236633496373756,0.07841211951185297,judge,adjudicated,,,,,,0.15182917255456116,C,specific_reference OR generic_network_language,146,,,,,overall,0.416,0.9523809523809523,,,,,,,,,
mapping,,,,,0.0,0.0,judge,adjudicated,,,,,,0.0,C,specific_reference OR generic_network_language,37,,,,,commons/uniform_fair,0.0,,,,,,,,,,
mapping,,,,,0.22335025380710657,0.0,judge,adjudicated,,,,,,0.08695652173913039,C,specific_reference OR generic_network_language,36,,,,,commons/mixed,0.125,1.0,,,,,,,,,
mapping,,,,,0.4825174825174826,-0.09703504043126675,judge,adjudicated,,,,,,0.18141592920353986,C,specific_reference OR generic_network_language,37,,,,,triage/uniform_fair,0.7352941176470589,0.6666666666666666,,,,,,,,,
mapping,,,,,0.8399999999999999,0.26530612244897994,judge,adjudicated,,,,,,0.5714285714285715,C,specific_reference OR generic_network_language,36,,,,,triage/mixed,0.8,1.0,,,,,,,,,
prevalence_raw,,,,,,,,coder1,specific_reference,,,,commons,,,,,37,,uniform_fair,0,,,,,,,7,0,10,0,20,0
prevalence_raw,,,,,,,,coder1,generic_network_language,,,,commons,,,,,37,,uniform_fair,1,,,,,,,7,1,10,1,20,1
prevalence_raw,,,,,,,,coder1,specific_reference,,,,commons,,,,,36,,mixed,0.2777777777777778,,,,,,,7,0,10,0.1,19,0.47368421052631576
prevalence_raw,,,,,,,,coder1,generic_network_language,,,,commons,,,,,36,,mixed,0.6666666666666666,,,,,,,7,0.14285714285714285,10,0.4,19,1
prevalence_raw,,,,,,,,coder1,specific_reference,,,,triage,,,,,37,,uniform_fair,0.2972972972972973,,,,,,,7,0.2857142857142857,10,0.8,20,0.05
prevalence_raw,,,,,,,,coder1,generic_network_language,,,,triage,,,,,37,,uniform_fair,0.8918918918918919,,,,,,,7,0.42857142857142855,10,1,20,1
prevalence_raw,,,,,,,,coder1,specific_reference,,,,triage,,,,,36,,mixed,0.5833333333333334,,,,,,,7,0.14285714285714285,9,1,20,0.55
prevalence_raw,,,,,,,,coder1,generic_network_language,,,,triage,,,,,36,,mixed,0.75,,,,,,,7,0,9,0.7777777777777778,20,1
prevalence_raw,,,,,,,,coder2,specific_reference,,,,commons,,,,,37,,uniform_fair,0,,,,,,,7,0,10,0,20,0
prevalence_raw,,,,,,,,coder2,generic_network_language,,,,commons,,,,,37,,uniform_fair,1,,,,,,,7,1,10,1,20,1
prevalence_raw,,,,,,,,coder2,specific_reference,,,,commons,,,,,36,,mixed,0.05555555555555555,,,,,,,7,0,10,0.2,19,0
prevalence_raw,,,,,,,,coder2,generic_network_language,,,,commons,,,,,36,,mixed,0.6666666666666666,,,,,,,7,0.14285714285714285,10,0.4,19,1
prevalence_raw,,,,,,,,coder2,specific_reference,,,,triage,,,,,37,,uniform_fair,0.2702702702702703,,,,,,,7,0.2857142857142857,10,0.6,20,0.1
prevalence_raw,,,,,,,,coder2,generic_network_language,,,,triage,,,,,37,,uniform_fair,0.8918918918918919,,,,,,,7,0.42857142857142855,10,1,20,1
prevalence_raw,,,,,,,,coder2,specific_reference,,,,triage,,,,,36,,mixed,0.5555555555555556,,,,,,,7,0.14285714285714285,9,0.7777777777777778,20,0.6
prevalence_raw,,,,,,,,coder2,generic_network_language,,,,triage,,,,,36,,mixed,0.8055555555555556,,,,,,,7,0,9,1,20,1
prevalence_reweighted,,,,,0.0,0.0,,coder1,specific_reference,grey,20,0.9935058169821149,commons,,,,,37,0.0,uniform_fair,,,,,0.0019100538287897205,0.004584129189095329,0.9935058169821149,,,,,,
prevalence_reweighted,,,,,1.0,1.0,,coder1,generic_network_language,grey,20,0.9935058169821149,commons,,,,,37,1.0,uniform_fair,,,,,0.0019100538287897205,0.004584129189095329,0.9935058169821149,,,,,,
prevalence_reweighted,,,,,0.29297750761847435,0.11182759709674721,,coder1,specific_reference,clear-none,7,0.5639263551977024,commons,,,,,36,0.2024025523576108,mixed,,,,,0.5639263551977024,0.011128775834658187,0.4249448689676394,,,,,,
prevalence_reweighted,,,,,0.6721919805411267,0.427170624134571,,coder1,generic_network_language,clear-none,7,0.5639263551977024,commons,,,,,36,0.5099572871868887,mixed,,,,,0.5639263551977024,0.011128775834658187,0.4249448689676394,,,,,,
prevalence_reweighted,,,,,0.6435649756775539,0.3334572619874913,,coder1,specific_reference,clear-specific,10,0.6028492008339125,triage,,,,,37,0.507640722724114,uniform_fair,,,,,0.02334954829742877,0.6028492008339125,0.3738012508686588,,,,,,
prevalence_reweighted,,,,,0.9966643502432245,0.9799861014593468,,coder1,generic_network_language,clear-specific,10,0.6028492008339125,triage,,,,,37,0.9866574009728979,uniform_fair,,,,,0.02334954829742877,0.6028492008339125,0.3738012508686588,,,,,,
prevalence_reweighted,,,,,0.6767868299697526,0.45627212773342585,,coder1,specific_reference,clear-none,7,0.4123568205484207,triage,,,,,36,0.5480230078841671,mixed,,,,,0.4123568205484207,0.36869142658799026,0.21895175286358903,,,,,,
prevalence_reweighted,,,,,0.5876431794515793,0.38281460912491805,,coder1,generic_network_language,clear-none,7,0.4123568205484207,triage,,,,,36,0.5057117513209148,mixed,,,,,0.4123568205484207,0.36869142658799026,0.21895175286358903,,,,,,
prevalence_reweighted,,,,,0.0,0.0,,coder2,specific_reference,grey,20,0.9935058169821149,commons,,,,,37,0.0,uniform_fair,,,,,0.0019100538287897205,0.004584129189095329,0.9935058169821149,,,,,,
prevalence_reweighted,,,,,1.0,1.0,,coder2,generic_network_language,grey,20,0.9935058169821149,commons,,,,,37,1.0,uniform_fair,,,,,0.0019100538287897205,0.004584129189095329,0.9935058169821149,,,,,,
prevalence_reweighted,,,,,0.005564387917329093,0.0,,coder2,specific_reference,clear-none,7,0.5639263551977024,commons,,,,,36,0.0022257551669316376,mixed,,,,,0.5639263551977024,0.011128775834658187,0.4249448689676394,,,,,,
prevalence_reweighted,,,,,0.6721919805411267,0.427170624134571,,coder2,generic_network_language,clear-none,7,0.5639263551977024,commons,,,,,36,0.5099572871868887,mixed,,,,,0.5639263551977024,0.011128775834658187,0.4249448689676394,,,,,,
prevalence_reweighted,,,,,0.5866157053509381,0.20621612230715777,,coder2,specific_reference,clear-specific,10,0.6028492008339125,triage,,,,,37,0.40576094510076444,uniform_fair,,,,,0.02334954829742877,0.6028492008339125,0.3738012508686588,,,,,,
prevalence_reweighted,,,,,0.9966643502432245,0.9799861014593468,,coder2,generic_network_language,clear-specific,10,0.6028492008339125,triage,,,,,37,0.9866574009728979,uniform_fair,,,,,0.02334954829742877,0.6028492008339125,0.3738012508686588,,,,,,
prevalence_reweighted,,,,,0.6329964793970347,0.32807667090902076,,coder2,specific_reference,clear-none,7,0.4123568205484207,triage,,,,,36,0.47703916739668206,mixed,,,,,0.4123568205484207,0.36869142658799026,0.21895175286358903,,,,,,
prevalence_reweighted,,,,,0.5876431794515793,0.5876431794515793,,coder2,generic_network_language,clear-none,7,0.4123568205484207,triage,,,,,36,0.5876431794515793,mixed,,,,,0.4123568205484207,0.36869142658799026,0.21895175286358903,,,,,,
prevalence_reweighted,,,,,0.0,0.0,,adjudicated,specific_reference,grey,20,0.9935058169821149,commons,,,,,37,0.0,uniform_fair,,,,,0.0019100538287897205,0.004584129189095329,0.9935058169821149,,,,,,
prevalence_reweighted,,,,,1.0,1.0,,adjudicated,generic_network_language,grey,20,0.9935058169821149,commons,,,,,37,1.0,uniform_fair,,,,,0.0019100538287897205,0.004584129189095329,0.9935058169821149,,,,,,
prevalence_reweighted,,,,,0.005564387917329093,0.0,,adjudicated,specific_reference,clear-none,7,0.5639263551977024,commons,,,,,36,0.0022257551669316376,mixed,,,,,0.5639263551977024,0.011128775834658187,0.4249448689676394,,,,,,
prevalence_reweighted,,,,,0.6721919805411267,0.427170624134571,,adjudicated,generic_network_language,clear-none,7,0.5639263551977024,commons,,,,,36,0.5099572871868887,mixed,,,,,0.5639263551977024,0.011128775834658187,0.4249448689676394,,,,,,
prevalence_reweighted,,,,,0.5645899930507298,0.18752605976372483,,adjudicated,specific_reference,clear-specific,10,0.6028492008339125,triage,,,,,37,0.38373523280055594,uniform_fair,,,,,0.02334954829742877,0.6028492008339125,0.3738012508686588,,,,,,
prevalence_reweighted,,,,,0.9966643502432245,0.9799861014593468,,adjudicated,generic_network_language,clear-specific,10,0.6028492008339125,triage,,,,,37,0.9866574009728979,uniform_fair,,,,,0.02334954829742877,0.6028492008339125,0.3738012508686588,,,,,,
prevalence_reweighted,,,,,0.6288263003917289,0.3143044467584558,,adjudicated,specific_reference,clear-none,7,0.4123568205484207,triage,,,,,36,0.4660915797535027,mixed,,,,,0.4123568205484207,0.36869142658799026,0.21895175286358903,,,,,,
prevalence_reweighted,,,,,0.5876431794515793,0.38281460912491805,,adjudicated,generic_network_language,clear-none,7,0.4123568205484207,triage,,,,,36,0.5057117513209148,mixed,,,,,0.4123568205484207,0.36869142658799026,0.21895175286358903,,,,,,
